Date,Calories.Burned,Steps,Distance,Floors,Minutes.Sedentary,Minutes.Lightly.Active,Minutes.Fairly.Active,Minutes.Very.Active,Activity.Calories,Minutes.Asleep,Minutes.Awake,Number.of.Awakenings,Time.in.Bed
2016-06-25,2553,5637,2.64,7,670,252,0,0,988,561,13,2,574
2016-06-26,2851,9276,4.35,17,591,249,33,12,1365,483,18,1,501
2016-06-27,3289,13348,6.8,19,690,280,8,39,1788,376,20,2,397
2016-06-28,2835,8862,4.16,24,660,306,0,0,1345,414,8,0,423
2016-06-29,3364,13145,6.71,15,666,237,28,59,1865,455,19,2,474
2016-06-30,2786,8665,4.07,19,707,285,0,0,1263,427,22,1,450
2016-07-01,3703,16872,8.76,29,684,286,27,63,2285,448,5,0,453
2016-07-02,3733,16223,7.61,37,532,213,103,101,2413,535,17,3,552
2016-07-03,3690,16266,7.63,36,467,325,80,58,2393,484,26,2,510
2016-07-04,2923,11217,5.26,31,609,269,24,11,1442,441,42,4,488
2016-07-05,3134,13514,6.34,24,623,259,43,43,1687,413,19,2,433
2016-07-06,2709,9442,4.43,22,659,234,5,15,1154,419,62,5,481
2016-07-07,3358,17724,8.69,36,620,184,47,83,1878,456,62,3,518
2016-07-08,3558,18918,9.59,50,694,161,48,115,2084,487,23,4,510
2016-07-09,2619,6204,2.93,6,639,269,0,0,1083,485,31,4,516
2016-07-10,2958,9567,4.49,21,565,278,39,3,1495,509,19,1,528
2016-07-11,3481,13788,6.98,23,653,249,41,56,2026,371,17,1,388
2016-07-12,2837,8028,3.77,19,723,270,9,2,1310,425,7,0,433
2016-07-14,2764,7031,3.3,9,723,226,17,11,1227,368,15,2,385
2016-07-15,3271,14689,7.8,32,835,210,20,58,1759,453,11,0,464
2016-07-16,3476,13514,6.34,40,889,297,84,42,2155,83,13,0,96
2016-07-17,2855,8767,4.11,24,579,248,40,7,1379,525,47,2,572
2016-07-18,3360,15111,7.47,28,625,204,48,66,1883,406,2,0,408
2016-07-19,3228,10978,5.15,28,609,269,87,7,1813,453,45,1,498
2016-07-20,3292,13370,6.76,21,674,199,27,73,1810,434,31,0,465
2016-07-21,2887,6548,3.07,15,678,217,35,27,1362,452,25,1,477
2016-07-22,4068,23542,12.47,75,602,255,25,109,2661,399,25,2,424
2016-07-23,2756,9516,4.46,21,573,254,15,15,1267,578,29,3,607
2016-07-24,2881,11333,5.32,30,514,214,53,21,1398,581,24,1,605
2016-07-25,3512,14349,7.26,29,656,280,46,56,2099,414,24,2,438
2016-07-26,3315,9254,4.34,20,680,265,46,38,1858,376,33,3,409
2016-07-27,3186,12507,6.34,25,708,224,22,42,1671,393,10,0,404
2016-07-28,2742,7424,3.48,21,748,270,9,0,1222,431,23,2,454
2016-07-29,3810,17438,8.94,23,713,249,72,74,2395,393,9,1,402
2016-07-30,3606,17624,8.27,16,539,203,95,101,2296,453,43,1,496
2016-07-31,3236,10754,5.05,19,454,284,66,31,1885,519,28,2,548
